set,entry_day,n,mean_pct,median_pct,share_pos,sd_pct,t,p
BTC shocks (all),0,98,2.980806122448979,1.8035000000000023,0.6224489795918368,9.645564877568592,3.0592791081452013,0.0028686547988707955
BTC shocks (all),1,98,2.786001327006259,2.198309103665558,0.6428571428571429,8.692008414729509,3.1730302956626995,0.0020210441560540872
BTC shocks (all),2,98,1.9542902817498575,0.8755819709249546,0.6122448979591837,7.885171284391345,2.4535277739810635,0.015930634679840974
BTC shocks (all),3,98,1.6940696895640688,0.7914293662823646,0.5918367346938775,6.935355210450161,2.4181074804700966,0.017467978710780464
BTC shocks (all),5,98,0.4961918785684053,-0.02191696017768696,0.4897959183673469,4.573717020418263,1.073973087435688,0.2854991354250878
BITO shocks (all),0,46,1.6056956521739125,2.9205000000000036,0.5434782608695652,11.781075496781673,0.9243941920657424,0.3602117444571269
BITO shocks (all),1,46,1.6938341938391266,1.510324813395253,0.6086956521739131,10.84731555810308,1.0590770018427407,0.2952165950517
BITO shocks (all),2,46,1.499558170052769,0.522365392699653,0.5869565217391305,7.013597633222291,1.450111464908299,0.15396207374419824
BITO shocks (all),3,46,0.5958315064290381,-0.06926632116526776,0.5,5.883625021645372,0.6868428691627002,0.4957062002734171
BITO shocks (all),5,46,-0.20475656088324196,0.18689837160274503,0.5217391304347826,3.9184933727773874,-0.3544031927596987,0.724692169757495
SPY shocks (all),0,98,-0.5169897959183668,-0.46599999999999975,0.42857142857142855,3.367476226184147,-1.5198141050495724,0.1318106691417439
SPY shocks (all),1,98,-0.24850355733646057,-0.3596935046136951,0.42857142857142855,3.2246002980570236,-0.7629037648680309,0.44737216585856526
SPY shocks (all),2,98,-0.3688019110661265,-0.33722246972883174,0.40816326530612246,3.237717893789061,-1.12763148951781,0.26225715126020854
SPY shocks (all),3,98,-0.3102404728664588,-0.04361518224393901,0.47959183673469385,2.7352425404926217,-1.122834244059536,0.26427940156767954
SPY shocks (all),5,98,-0.032353586354964395,-0.01990126185091312,0.5,2.018884788814064,-0.1586441019699495,0.8742791065798825
SPXL shocks (all),0,96,-1.3845729166666658,-1.4554999999999985,0.40625,10.084259179266823,-1.345263780797417,0.18174250037659445
SPXL shocks (all),1,96,-0.7780568463784144,-1.3715091949838887,0.4479166666666667,9.474689025032575,-0.8046036168451874,0.4230574762195603
SPXL shocks (all),2,96,-1.1239886080792363,-1.2846056749645396,0.40625,9.444731548798854,-1.1660251230096095,0.24652332156312973
SPXL shocks (all),3,96,-1.0557608113251362,-0.4003239774784062,0.4479166666666667,8.169631797314509,-1.2661893913130589,0.20854134231115154
SPXL shocks (all),5,96,-0.13430511428421674,-0.2394505861882834,0.4895833333333333,6.10313006218927,-0.21561329776052812,0.8297514353567383
BTC up-shocks,0,55,3.8287454545454533,1.980000000000004,0.6545454545454545,10.125849583410696,2.804183097287346,0.006995341213838802
BTC up-shocks,1,55,3.2640063270475284,2.2605872805075977,0.6909090909090909,8.807334615832838,2.7484499954168644,0.008124617179986695
BTC up-shocks,2,55,2.0370114679362685,0.8804063141502061,0.6181818181818182,7.488266713019535,2.0174069575326117,0.048634894503972036
BTC up-shocks,3,55,1.7532605788850553,0.9262832883056626,0.6,6.987542904379126,1.8608155442541996,0.06821837944020928
BTC up-shocks,5,55,0.5955932018765571,-0.00979988632133777,0.4909090909090909,3.788688363565133,1.165848699818894,0.2487992698604677
stock up-shocks: earnings,0,77,2.2564675324675334,1.9649999999999945,0.6363636363636364,7.37788708090177,2.6837524106277124,0.00893090581498581
stock up-shocks: earnings,1,77,1.4368635906901235,1.1503714317652847,0.6363636363636364,6.464584190663889,1.9503848145492815,0.05481769000537799
stock up-shocks: earnings,2,77,0.8204715951850041,0.8567123908184149,0.6363636363636364,4.90707065161112,1.467190823154624,0.1464503050639148
stock up-shocks: earnings,3,77,0.299301800923629,0.5316140708064632,0.5584415584415584,4.338535317951909,0.6053569814955425,0.5467452992059048
stock up-shocks: earnings,5,77,0.7820121427503621,0.8089796743856903,0.6753246753246753,2.60076679574033,2.638502119598643,0.010096954250768666
stock up-shocks: idiosyncratic,0,166,1.1000060240963851,0.10000000000000009,0.5060240963855421,9.073208711430352,1.5620258130506464,0.12019784888599741
stock up-shocks: idiosyncratic,1,166,0.8232314112530666,0.08038795778325669,0.5120481927710844,8.164483099434026,1.2991140588264587,0.19571717983360107
stock up-shocks: idiosyncratic,2,166,1.0728370044652409,0.32278650565629174,0.5301204819277109,7.244519935431851,1.9079991505869516,0.0581280309134111
stock up-shocks: idiosyncratic,3,166,0.8601396258291292,0.22907821427762265,0.5180722891566265,5.468872413747432,2.0264001460507854,0.04433423906285869
stock up-shocks: idiosyncratic,5,166,-0.05545008816163869,0.29767771689410694,0.536144578313253,3.357077387816875,-0.21281142128950412,0.8317367490903622
stock up-shocks: market-wide,0,99,0.5765555555555559,0.38800000000001056,0.5454545454545454,6.8985645670797195,0.831572320580089,0.4076720263032186
stock up-shocks: market-wide,1,99,1.2275788222370163,0.8549880894722639,0.5757575757575758,5.908787553631925,2.0671339003095555,0.04135768450470938
stock up-shocks: market-wide,2,99,0.4104217465422948,0.48988542515415734,0.5555555555555556,5.811038933166586,0.7027391941812585,0.4838842736213873
stock up-shocks: market-wide,3,99,0.5566207215253846,0.6255024608325499,0.5757575757575758,5.530406874486132,1.0014283536822781,0.31908605089558917
stock up-shocks: market-wide,5,99,0.7546248968152545,0.1393076410241223,0.5454545454545454,3.4767004648904085,2.1596404396682054,0.033240231447455956
