family,instrument,test,p,direction,q_within_family,q_all_tests
I_scheduled_event_direction,spxl,payrolls hit=0.5691 n=123,0.148816,above,0.595264,0.3056761081081081
J_scheduled_event_surprise,spxl,payrolls MWU |s|,0.00111,larger surprise,0.00282,0.004686666666666667
I_scheduled_event_direction,spxl,fomc_or_payrolls hit=0.5243 n=206,0.530722,above,1.0,0.7274326588235294
J_scheduled_event_surprise,spxl,fomc_or_payrolls MWU |s|,0.00141,larger surprise,0.00282,0.00564
I_scheduled_event_direction,spy,fomc hit=0.3976 n=83,0.07842,below,0.595264,0.19225548387096775
J_scheduled_event_surprise,spy,fomc MWU |s|,0.09619,larger surprise,0.13991272727272727,0.22152848484848484
I_scheduled_event_direction,spy,payrolls hit=0.5691 n=123,0.148816,above,0.595264,0.3056761081081081
J_scheduled_event_surprise,spy,payrolls MWU |s|,0.00126,larger surprise,0.00282,0.005130000000000001
I_scheduled_event_direction,spy,fomc_or_payrolls hit=0.5 n=206,1.0,above,1.0,1.0
J_scheduled_event_surprise,spy,fomc_or_payrolls MWU |s|,0.00063,larger surprise,0.002016,0.002762307692307693
I_scheduled_event_direction,bito,fomc hit=0.4722 n=36,0.867939,below,1.0,0.9290614647887324
J_scheduled_event_surprise,bito,fomc MWU |s|,0.85536,larger surprise,0.85536,0.9290614647887324
I_scheduled_event_direction,bito,payrolls hit=0.4906 n=53,1.0,below,1.0,1.0
J_scheduled_event_surprise,bito,payrolls MWU |s|,0.17095,larger surprise,0.22793333333333332,0.3389269565217391
I_scheduled_event_direction,bito,fomc_or_payrolls hit=0.4831 n=89,0.832258,below,1.0,0.9288521739130435
J_scheduled_event_surprise,bito,fomc_or_payrolls MWU |s|,0.47797,larger surprise,0.5098346666666667,0.6985715384615384
I_scheduled_event_direction,btc,fomc hit=0.5581 n=43,0.542384,above,1.0,0.7274326588235294
J_scheduled_event_surprise,btc,fomc MWU |s|,0.36192,larger surprise,0.4136228571428572,0.569088
I_scheduled_event_direction,btc,payrolls hit=0.5 n=64,1.0,above,1.0,1.0
J_scheduled_event_surprise,btc,payrolls MWU |s|,0.01053,larger surprise,0.01872,0.03356666666666666
I_scheduled_event_direction,btc,fomc_or_payrolls hit=0.5234 n=107,0.699175,above,1.0,0.8702091369151967
J_scheduled_event_surprise,btc,fomc_or_payrolls MWU |s|,0.02106,larger surprise,0.033696,0.06402240000000001
I_scheduled_event_direction,aapl,earnings hit=0.4923 n=65,1.0,below,1.0,1.0
J_scheduled_event_surprise,aapl,earnings MWU |s|,1e-06,larger surprise,4e-06,6.3333333333333326e-06
I_scheduled_event_direction,msft,earnings hit=0.4615 n=65,0.620145,below,1.0,0.8130689655172415
J_scheduled_event_surprise,msft,earnings MWU |s|,1e-06,larger surprise,4e-06,6.3333333333333326e-06
I_scheduled_event_direction,tsla,earnings hit=0.5238 n=63,0.801306,above,1.0,0.91348884
J_scheduled_event_surprise,tsla,earnings MWU |s|,1e-06,larger surprise,4e-06,6.3333333333333326e-06
I_scheduled_event_direction,nvda,earnings hit=0.6 n=65,0.136032,above,0.595264,0.28677798165137613
J_scheduled_event_surprise,nvda,earnings MWU |s|,1e-06,larger surprise,4e-06,6.3333333333333326e-06
